// parallelRadixSAConstruction benchmarks (Figure 4.4)
sort, data_size, ms
parallelGenRadixSA(), 8000, 111
parallelGenRadixSA(), 8000, 103
parallelGenRadixSA(), 8000, 106
parallelGenRadixSA(), 8000, 108
parallelGenRadixSA(), 8000, 105
parallelGenRadixSA(), 16000, 211
parallelGenRadixSA(), 16000, 211
parallelGenRadixSA(), 16000, 207
parallelGenRadixSA(), 16000, 213
parallelGenRadixSA(), 16000, 205
parallelGenRadixSA(), 32000, 415
parallelGenRadixSA(), 32000, 416
parallelGenRadixSA(), 32000, 411
parallelGenRadixSA(), 32000, 412
parallelGenRadixSA(), 32000, 416
parallelGenRadixSA(), 64000, 867
parallelGenRadixSA(), 64000, 825
parallelGenRadixSA(), 64000, 835
parallelGenRadixSA(), 64000, 834
parallelGenRadixSA(), 64000, 832
parallelGenRadixSA(), 128000, 1768
parallelGenRadixSA(), 128000, 1712
parallelGenRadixSA(), 128000, 1714
parallelGenRadixSA(), 128000, 1732
parallelGenRadixSA(), 128000, 1719
parallelGenRadixSA(), 264000, 3751
parallelGenRadixSA(), 264000, 3771
parallelGenRadixSA(), 264000, 3740
parallelGenRadixSA(), 264000, 3734
parallelGenRadixSA(), 264000, 3757
parallelGenRadixSA(), 512000, 8271
parallelGenRadixSA(), 512000, 8288
parallelGenRadixSA(), 512000, 8342
parallelGenRadixSA(), 512000, 8268
parallelGenRadixSA(), 512000, 8338
parallelGenRadixSA(), 1024000, 17750
parallelGenRadixSA(), 1024000, 17719
parallelGenRadixSA(), 1024000, 17684
parallelGenRadixSA(), 1024000, 17766
parallelGenRadixSA(), 1024000, 17808
parallelGenRadixSA(), 2048000, 37888
parallelGenRadixSA(), 2048000, 38127
parallelGenRadixSA(), 2048000, 37573
parallelGenRadixSA(), 2048000, 37573
parallelGenRadixSA(), 2048000, 37263
parallelGenRadixSA(), 4096000, 78839
