// RadixSAMergeConstruction benchmarking data

sort, data_size, ms
constructTotalRadixSA(), 8000, 151
constructTotalRadixSA(), 8000, 151
constructTotalRadixSA(), 8000, 154
constructTotalRadixSA(), 8000, 151
constructTotalRadixSA(), 8000, 154
constructTotalRadixSA(), 16000, 318
constructTotalRadixSA(), 16000, 321
constructTotalRadixSA(), 16000, 400
constructTotalRadixSA(), 16000, 312
constructTotalRadixSA(), 16000, 318
constructTotalRadixSA(), 32000, 657
constructTotalRadixSA(), 32000, 674
constructTotalRadixSA(), 32000, 662
constructTotalRadixSA(), 32000, 665
constructTotalRadixSA(), 32000, 660
constructTotalRadixSA(), 64000, 1457
constructTotalRadixSA(), 64000, 1440
constructTotalRadixSA(), 64000, 1446
constructTotalRadixSA(), 64000, 1467
constructTotalRadixSA(), 64000, 1488
constructTotalRadixSA(), 128000, 3283
constructTotalRadixSA(), 128000, 3252
constructTotalRadixSA(), 128000, 3280
constructTotalRadixSA(), 128000, 3263
constructTotalRadixSA(), 128000, 3303
constructTotalRadixSA(), 250000, 7453
constructTotalRadixSA(), 250000, 7516
constructTotalRadixSA(), 250000, 7398
constructTotalRadixSA(), 250000, 7419
constructTotalRadixSA(), 250000, 7371
constructTotalRadixSA(), 512000, 16980
constructTotalRadixSA(), 512000, 17279
constructTotalRadixSA(), 512000, 17216
constructTotalRadixSA(), 512000, 18842
constructTotalRadixSA(), 512000, 18310
constructTotalRadixSA(), 1024000, 38756
constructTotalRadixSA(), 1024000, 38941
constructTotalRadixSA(), 1024000, 38835
constructTotalRadixSA(), 1024000, 45355
constructTotalRadixSA(), 1024000, 38915
constructTotalRadixSA(), 2048000, 85185
constructTotalRadixSA(), 2048000, 85496
constructTotalRadixSA(), 2048000, 85629
constructTotalRadixSA(), 2048000, 85678
constructTotalRadixSA(), 2048000, 85358
constructTotalRadixSA(), 4096000, 185881
constructTotalRadixSA(), 4096000, 185570
constructTotalRadixSA(), 4096000, 187524
constructTotalRadixSA(), 4096000, 185675
constructTotalRadixSA(), 4096000, 186591
