// raw data for radixSAMergeConstuctionFigure (4.2)
data,func,raw,prop,
8,bsatimer(),0,0,
8,radixtimer(),32,0.211920529801325,
8,maptimer(),56,0.370860927152318,
8,merge(),60,0.397350993377483,
8,constructTotalRadixSA(),151,1,
16, bsatimer(),0,0,
16, radixtimer(),68,0.213166144200627,
16, maptimer(),114,0.357366771159875,
16, merge(),125,0.391849529780564,
16, constructTotalRadixSA(),319,1,
32,bsatimer(),1,0.00147058823529412,
32,radixtimer(),137,0.201470588235294,
32,maptimer(),255,0.375,
32,merge(),272,0.4,
32,constructTotalRadixSA(),680,1,
64,bsatimer(),2,0.00135961930659415,
64,radixtimer(),273,0.185588035350102,
64,maptimer(),569,0.386811692726037,
64,merge(),616,0.418762746430999,
64,constructTotalRadixSA(),1471,1,
128, bsatimer(),4,0.00118694362017804,
128, radixtimer(),553,0.164094955489614,
128, maptimer(),1357,0.402670623145401,
128, merge(),1445,0.428783382789317,
128, constructTotalRadixSA(),3370,1,
256, bsatimer(),8,0.00100464649001633,
256, radixtimer(),1200,0.150696973502449,
256, maptimer(),3445,0.43262589476328,
256, merge(),3275,0.411277156850433,
256, constructTotalRadixSA(),7963,1,
512,bsatimer(),15,0.000828637719588996,
512,radixtimer(),2629,0.145232570986631,
512,maptimer(),8019,0.442989724892277,
512,merge(),7399,0.408739365815932,
512,constructTotalRadixSA(),18102,1,
1024, bsatimer(),33,0.000828043058239028,
1024, radixtimer(),5483,0.137580608737109,
1024, maptimer(),18672,0.468521817679974,
1024, merge(),15599,0.3914134444082,
1024, constructTotalRadixSA(),39853,1,
2048, satimer(),45,0.000509164969450102,
2048, radixtimer(),11587,0.131104322244852,
2048, maptimer(),42317,0.478807422493777,
2048, merge(),33214,0.375809006562571,
2048, constructTotalRadixSA(),88380,1,
4096, bsatimer(),96,0.000485948003563619,
4096, radixtimer(),29544,0.149550498096704,
4096, maptimer(),97296,0.492508301611728,
4096, merge(),70295,0.355830363651089,
4096, constructTotalRadixSA(),197552,1,
