// lex merge data int heap (figure 4.3)
level,ns
0,  7282274
1,  8002909
2,  8750212
3,  9064541
4,  9111518
5,  9303322
6,  9100819
7,  9003401
8,  8948590
9,  9045050
10,  9081970
11,  9181478
12,  9329370
13,  9687217
14, 10196047
15, 11434594
16, 14033018
17, 18440116
18, 23550004
19, 29687677
// lex merge data int heap
level,ns
0,  7238154
1,  8057918
2,  8779970
3,  9001718
4,  8998256
5,  9057139
6,  8934116
7,  8981275
8,  8927391
9,  8925053
10,  8973383
11,  9078271
12,  9258303
13,  9615076
14, 10147267
15, 11364788
16, 13975777
17, 18807959
18, 23572664
19, 30738733
